Segment	Country	 Product 	 Discount Band 	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Discounts	 Sales	COGS	Profit	Year
Government	Canada	 Carretera 	 None 	1618.5	3	20	"32,370"	0	"32,370"	"16,185"	"16,185"	2018
Government	Germany	 Carretera 	 None 	1321	3	20	"26,420"	0	"26,420"	"13,210"	"13,210"	2018
Midmarket	France	 Carretera 	 None 	2178	3	15	"32,670"	0	"32,670"	"21,780"	"10,890"	2018
Midmarket	Germany	 Carretera 	 None 	888	3	15	"13,320"	0	"13,320"	"8,880"	"4,440"	2018
Midmarket	Mexico	 Carretera 	 None 	2470	3	15	"37,050"	0	"37,050"	"24,700"	"12,350"	2018
Government	Germany	 Carretera 	 None 	1513	3	350	"529,550"	0	"529,550"	"393,380"	"136,170"	2018
Midmarket	Germany	 Montana 	 None 	921	5	15	"13,815"	0	"13,815"	"9,210"	"4,605"	2018
Channel Partners	Canada	 Montana 	 None 	2518	5	12	"30,216"	0	"30,216"	"7,554"	"22,662"	2018
Government	France	 Montana 	 None 	1899	5	20	"37,980"	0	"37,980"	"18,990"	"18,990"	2018
Channel Partners	Germany	 Montana 	 None 	1545	5	12	"18,540"	0	"18,540"	"4,635"	"13,905"	2018
Midmarket	Mexico	 Montana 	 None 	2470	5	15	"37,050"	0	"37,050"	"24,700"	"12,350"	2018
Enterprise	Canada	 Montana 	 None 	2665.5	5	125	"333,188"	0	"333,188"	"319,860"	"13,328"	2018
Small Business	Mexico	 Montana 	 None 	958	5	300	"287,400"	0	"287,400"	"239,500"	"47,900"	2018
Government	Germany	 Montana 	 None 	2146	5	7	"15,022"	0	"15,022"	"10,730"	"4,292"	2018
Enterprise	Canada	 Montana 	 None 	345	5	125	"43,125"	0	"43,125"	"41,400"	"1,725"	2018
Midmarket	United States of America	 Montana 	 None 	615	5	15	"9,225"	0	"9,225"	"6,150"	"3,075"	2018
Government	Canada	 Paseo 	 None 	292	10	20	"5,840"	0	"5,840"	"2,920"	"2,920"	2018
Midmarket	Mexico	 Paseo 	 None 	974	10	15	"14,610"	0	"14,610"	"9,740"	"4,870"	2018
Channel Partners	Canada	 Paseo 	 None 	2518	10	12	"30,216"	0	"30,216"	"7,554"	"22,662"	2018
Government	Germany	 Paseo 	 None 	1006	10	350	"352,100"	0	"352,100"	"261,560"	"90,540"	2018
Channel Partners	Germany	 Paseo 	 None 	367	10	12	"4,404"	0	"4,404"	"1,101"	"3,303"	2018
Government	Mexico	 Paseo 	 None 	883	10	7	"6,181"	0	"6,181"	"4,415"	"1,766"	2018
Midmarket	France	 Paseo 	 None 	549	10	15	"8,235"	0	"8,235"	"5,490"	"2,745"	2018
Small Business	Mexico	 Paseo 	 None 	788	10	300	"236,400"	0	"236,400"	"197,000"	"39,400"	2018
Midmarket	Mexico	 Paseo 	 None 	2472	10	15	"37,080"	0	"37,080"	"24,720"	"12,360"	2018
Government	United States of America	 Paseo 	 None 	1143	10	7	"8,001"	0	"8,001"	"5,715"	"2,286"	2018
